s1_path,label_path,split
data\processed\STURM\S1\EMSR424_AOI01_06_17_1_2.tif,data\processed\STURM\Floodmaps\EMSR424_AOI01_06_17_1_2.tif,train
data\processed\Sen1Floods11\S1\Pakistan_667363_3_3_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Pakistan_667363_3_3_LabelHand.tif,train
data\processed\Sen1Floods11\S1\USA_806273_0_0_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\USA_806273_0_0_LabelHand.tif,train
data\processed\STURM\S1\EMSR550_AOI04_05_10_2_2.tif,data\processed\STURM\Floodmaps\EMSR550_AOI04_05_10_2_2.tif,train
data\processed\STURM\S1\EMSR352_AOI01_110_025_1_2.tif,data\processed\STURM\Floodmaps\EMSR352_AOI01_110_025_1_2.tif,train
data\processed\STURM\S1\EMSR261_01HANNOVER_26_17_1_1.tif,data\processed\STURM\Floodmaps\EMSR261_01HANNOVER_26_17_1_1.tif,train
data\processed\STURM\S1\EMSR332_02PADOVA_17_02_2_2.tif,data\processed\STURM\Floodmaps\EMSR332_02PADOVA_17_02_2_2.tif,train
data\processed\STURM\S1\EMSR517_AOI06_04_10_2_2.tif,data\processed\STURM\Floodmaps\EMSR517_AOI06_04_10_2_2.tif,train
data\processed\STURM\S1\EMSR517_AOI05_23_19_1_1.tif,data\processed\STURM\Floodmaps\EMSR517_AOI05_23_19_1_1.tif,train
data\processed\STURM\S1\EMSR407_AOI02_07_12_1_2.tif,data\processed\STURM\Floodmaps\EMSR407_AOI02_07_12_1_2.tif,train
data\processed\STURM\S1\EMSR342_07SOUTHNORMANTON_10_20_1_1.tif,data\processed\STURM\Floodmaps\EMSR342_07SOUTHNORMANTON_10_20_1_1.tif,train
data\processed\STURM\S1\EMSR292_01CHRISOUPOLI_09_07_2_2.tif,data\processed\STURM\Floodmaps\EMSR292_01CHRISOUPOLI_09_07_2_2.tif,train
data\processed\STURM\S1\EMSR352_AOI01_104_010_2_1.tif,data\processed\STURM\Floodmaps\EMSR352_AOI01_104_010_2_1.tif,train
data\processed\Sen1Floods11\S1\India_1017769_3_2_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\India_1017769_3_2_LabelHand.tif,train
data\processed\STURM\S1\EMSR424_AOI01_24_19_1_2.tif,data\processed\STURM\Floodmaps\EMSR424_AOI01_24_19_1_2.tif,train
data\processed\STURM\S1\EMSR507_AOI02_04_04_1_2.tif,data\processed\STURM\Floodmaps\EMSR507_AOI02_04_04_1_2.tif,train
data\processed\Sen1Floods11\S1\Pakistan_667363_2_1_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Pakistan_667363_2_1_LabelHand.tif,train
data\processed\STURM\S1\EMSR438_AOI01_05_02_1_1.tif,data\processed\STURM\Floodmaps\EMSR438_AOI01_05_02_1_1.tif,train
data\processed\Sen1Floods11\S1\USA_994009_1_1_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\USA_994009_1_1_LabelHand.tif,train
data\processed\Sen1Floods11\S1\Sri-Lanka_579082_1_1_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Sri-Lanka_579082_1_1_LabelHand.tif,train
data\processed\STURM\S1\EMSR629_AOI01_01_11_2_2.tif,data\processed\STURM\Floodmaps\EMSR629_AOI01_01_11_2_2.tif,train
data\processed\Sen1Floods11\S1\Pakistan_132143_0_2_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Pakistan_132143_0_2_LabelHand.tif,train
data\processed\STURM\S1\EMSR352_AOI01_106_030_2_2.tif,data\processed\STURM\Floodmaps\EMSR352_AOI01_106_030_2_2.tif,train
data\processed\Sen1Floods11\S1\India_273873_0_2_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\India_273873_0_2_LabelHand.tif,train
data\processed\STURM\S1\EMSR342_07SOUTHNORMANTON_02_07_2_2.tif,data\processed\STURM\Floodmaps\EMSR342_07SOUTHNORMANTON_02_07_2_2.tif,train
data\processed\STURM\S1\EMSR261_01HANNOVER_19_21_1_1.tif,data\processed\STURM\Floodmaps\EMSR261_01HANNOVER_19_21_1_1.tif,train
data\processed\Sen1Floods11\S1\Mekong_269835_1_1_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Mekong_269835_1_1_LabelHand.tif,train
data\processed\STURM\S1\EMSR352_AOI01_095_027_2_1.tif,data\processed\STURM\Floodmaps\EMSR352_AOI01_095_027_2_1.tif,train
data\processed\STURM\S1\EMSR292_01CHRISOUPOLI_09_14_2_1.tif,data\processed\STURM\Floodmaps\EMSR292_01CHRISOUPOLI_09_14_2_1.tif,train
data\processed\STURM\S1\EMSR352_AOI01_082_024_1_2.tif,data\processed\STURM\Floodmaps\EMSR352_AOI01_082_024_1_2.tif,train
data\processed\STURM\S1\EMSR429_AOI06_38_17_1_1.tif,data\processed\STURM\Floodmaps\EMSR429_AOI06_38_17_1_1.tif,train
data\processed\Sen1Floods11\S1\Mekong_474783_2_0_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Mekong_474783_2_0_LabelHand.tif,train
data\processed\STURM\S1\EMSR261_03WOLFSBURG_09_14_1_1.tif,data\processed\STURM\Floodmaps\EMSR261_03WOLFSBURG_09_14_1_1.tif,train
data\processed\STURM\S1\EMSR352_AOI01_079_017_2_2.tif,data\processed\STURM\Floodmaps\EMSR352_AOI01_079_017_2_2.tif,train
data\processed\STURM\S1\EMSR429_AOI05_11_15_1_2.tif,data\processed\STURM\Floodmaps\EMSR429_AOI05_11_15_1_2.tif,train
data\processed\STURM\S1\EMSR261_01HANNOVER_07_11_2_1.tif,data\processed\STURM\Floodmaps\EMSR261_01HANNOVER_07_11_2_1.tif,train
data\processed\STURM\S1\EMSR470_AOI01_26_15_1_1.tif,data\processed\STURM\Floodmaps\EMSR470_AOI01_26_15_1_1.tif,train
data\processed\STURM\S1\EMSR352_AOI01_084_027_1_1.tif,data\processed\STURM\Floodmaps\EMSR352_AOI01_084_027_1_1.tif,train
data\processed\STURM\S1\EMSR342_07SOUTHNORMANTON_05_09_1_2.tif,data\processed\STURM\Floodmaps\EMSR342_07SOUTHNORMANTON_05_09_1_2.tif,train
data\processed\STURM\S1\EMSR424_AOI03_20_12_1_1.tif,data\processed\STURM\Floodmaps\EMSR424_AOI03_20_12_1_1.tif,train
data\processed\STURM\S1\EMSR471_AOI05_21_05_1_2.tif,data\processed\STURM\Floodmaps\EMSR471_AOI05_21_05_1_2.tif,train
data\processed\STURM\S1\EMSR517_AOI05_18_29_1_1.tif,data\processed\STURM\Floodmaps\EMSR517_AOI05_18_29_1_1.tif,train
data\processed\STURM\S1\EMSR517_AOI01_18_21_2_2.tif,data\processed\STURM\Floodmaps\EMSR517_AOI01_18_21_2_2.tif,train
data\processed\Sen1Floods11\S1\Paraguay_7894_0_2_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Paraguay_7894_0_2_LabelHand.tif,train
data\processed\Sen1Floods11\S1\Paraguay_482517_3_0_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Paraguay_482517_3_0_LabelHand.tif,train
data\processed\STURM\S1\EMSR429_AOI07_14_07_2_1.tif,data\processed\STURM\Floodmaps\EMSR429_AOI07_14_07_2_1.tif,train
data\processed\Sen1Floods11\S1\Sri-Lanka_450918_1_1_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Sri-Lanka_450918_1_1_LabelHand.tif,train
data\processed\STURM\S1\EMSR429_AOI05_07_14_1_2.tif,data\processed\STURM\Floodmaps\EMSR429_AOI05_07_14_1_2.tif,train
data\processed\STURM\S1\EMSR429_AOI04_08_04_1_2.tif,data\processed\STURM\Floodmaps\EMSR429_AOI04_08_04_1_2.tif,train
data\processed\STURM\S1\EMSR275_01LIJEVIDOBROVCAK_07_10_1_2.tif,data\processed\STURM\Floodmaps\EMSR275_01LIJEVIDOBROVCAK_07_10_1_2.tif,train
data\processed\Sen1Floods11\S1\Somalia_322855_1_2_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Somalia_322855_1_2_LabelHand.tif,train
data\processed\STURM\S1\EMSR429_AOI07_06_16_2_1.tif,data\processed\STURM\Floodmaps\EMSR429_AOI07_06_16_2_1.tif,train
data\processed\STURM\S1\EMSR424_AOI01_17_35_2_1.tif,data\processed\STURM\Floodmaps\EMSR424_AOI01_17_35_2_1.tif,train
data\processed\STURM\S1\EMSR502_AOI05_03_10_1_2.tif,data\processed\STURM\Floodmaps\EMSR502_AOI05_03_10_1_2.tif,train
data\processed\Sen1Floods11\S1\Ghana_597288_1_0_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Ghana_597288_1_0_LabelHand.tif,train
data\processed\Sen1Floods11\S1\Nigeria_225131_3_3_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Nigeria_225131_3_3_LabelHand.tif,train
data\processed\STURM\S1\EMSR479_AOI01_11_06_1_2.tif,data\processed\STURM\Floodmaps\EMSR479_AOI01_11_06_1_2.tif,train
data\processed\Sen1Floods11\S1\Pakistan_909806_2_2_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Pakistan_909806_2_2_LabelHand.tif,train
data\processed\STURM\S1\EMSR275_02KUTINA_12_11_2_1.tif,data\processed\STURM\Floodmaps\EMSR275_02KUTINA_12_11_2_1.tif,train
data\processed\Sen1Floods11\S1\Paraguay_921838_1_2_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Paraguay_921838_1_2_LabelHand.tif,train
data\processed\STURM\S1\EMSR470_AOI01_06_30_2_1.tif,data\processed\STURM\Floodmaps\EMSR470_AOI01_06_30_2_1.tif,train
data\processed\STURM\S1\EMSR470_AOI01_06_32_1_1.tif,data\processed\STURM\Floodmaps\EMSR470_AOI01_06_32_1_1.tif,train
data\processed\Sen1Floods11\S1\India_180633_3_3_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\India_180633_3_3_LabelHand.tif,train
data\processed\Sen1Floods11\S1\Ghana_83200_2_0_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Ghana_83200_2_0_LabelHand.tif,train
data\processed\Sen1Floods11\S1\Ghana_141910_1_2_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Ghana_141910_1_2_LabelHand.tif,train
data\processed\STURM\S1\EMSR421_AOI05_4_6_1_2.tif,data\processed\STURM\Floodmaps\EMSR421_AOI05_4_6_1_2.tif,train
data\processed\STURM\S1\EMSR429_AOI07_21_16_2_1.tif,data\processed\STURM\Floodmaps\EMSR429_AOI07_21_16_2_1.tif,train
data\processed\STURM\S1\EMSR342_07SOUTHNORMANTON_14_01_1_2.tif,data\processed\STURM\Floodmaps\EMSR342_07SOUTHNORMANTON_14_01_1_2.tif,train
data\processed\STURM\S1\EMSR424_AOI01_20_20_1_2.tif,data\processed\STURM\Floodmaps\EMSR424_AOI01_20_20_1_2.tif,train
data\processed\Sen1Floods11\S1\Paraguay_40936_2_3_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Paraguay_40936_2_3_LabelHand.tif,train
data\processed\STURM\S1\EMSR352_AOI01_103_019_1_1.tif,data\processed\STURM\Floodmaps\EMSR352_AOI01_103_019_1_1.tif,train
data\processed\STURM\S1\EMSR352_AOI01_100_018_1_2.tif,data\processed\STURM\Floodmaps\EMSR352_AOI01_100_018_1_2.tif,train
data\processed\STURM\S1\EMSR421_AOI05_7_3_2_1.tif,data\processed\STURM\Floodmaps\EMSR421_AOI05_7_3_2_1.tif,train
data\processed\STURM\S1\EMSR265_25ELBEUF_11_12_2_1.tif,data\processed\STURM\Floodmaps\EMSR265_25ELBEUF_11_12_2_1.tif,train
data\processed\Sen1Floods11\S1\Paraguay_24341_2_0_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Paraguay_24341_2_0_LabelHand.tif,train
data\processed\STURM\S1\EMSR342_07SOUTHNORMANTON_11_06_2_2.tif,data\processed\STURM\Floodmaps\EMSR342_07SOUTHNORMANTON_11_06_2_2.tif,train
data\processed\STURM\S1\EMSR637_AOI14_12_06_1_2.tif,data\processed\STURM\Floodmaps\EMSR637_AOI14_12_06_1_2.tif,train
data\processed\STURM\S1\EMSR517_AOI06_02_03_2_2.tif,data\processed\STURM\Floodmaps\EMSR517_AOI06_02_03_2_2.tif,train
data\processed\STURM\S1\EMSR424_AOI01_15_15_1_2.tif,data\processed\STURM\Floodmaps\EMSR424_AOI01_15_15_1_2.tif,train
data\processed\STURM\S1\EMSR261_01HANNOVER_02_02_1_2.tif,data\processed\STURM\Floodmaps\EMSR261_01HANNOVER_02_02_1_2.tif,train
data\processed\STURM\S1\EMSR352_AOI01_114_012_2_2.tif,data\processed\STURM\Floodmaps\EMSR352_AOI01_114_012_2_2.tif,train
data\processed\STURM\S1\EMSR429_AOI04_11_08_2_2.tif,data\processed\STURM\Floodmaps\EMSR429_AOI04_11_08_2_2.tif,train
data\processed\STURM\S1\EMSR629_AOI01_01_12_2_2.tif,data\processed\STURM\Floodmaps\EMSR629_AOI01_01_12_2_2.tif,train
data\processed\STURM\S1\EMSR429_AOI07_20_18_1_1.tif,data\processed\STURM\Floodmaps\EMSR429_AOI07_20_18_1_1.tif,train
data\processed\STURM\S1\EMSR342_07SOUTHNORMANTON_03_01_2_2.tif,data\processed\STURM\Floodmaps\EMSR342_07SOUTHNORMANTON_03_01_2_2.tif,train
data\processed\Sen1Floods11\S1\Paraguay_482517_0_1_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Paraguay_482517_0_1_LabelHand.tif,train
data\processed\STURM\S1\EMSR407_AOI02_12_10_2_1.tif,data\processed\STURM\Floodmaps\EMSR407_AOI02_12_10_2_1.tif,train
data\processed\STURM\S1\EMSR424_AOI03_14_07_2_1.tif,data\processed\STURM\Floodmaps\EMSR424_AOI03_14_07_2_1.tif,train
data\processed\STURM\S1\EMSR429_AOI03_17_10_1_2.tif,data\processed\STURM\Floodmaps\EMSR429_AOI03_17_10_1_2.tif,train
data\processed\STURM\S1\EMSR569_AOI02_10_10_2_2.tif,data\processed\STURM\Floodmaps\EMSR569_AOI02_10_10_2_2.tif,train
data\processed\STURM\S1\EMSR470_AOI01_03_32_2_2.tif,data\processed\STURM\Floodmaps\EMSR470_AOI01_03_32_2_2.tif,train
data\processed\STURM\S1\EMSR471_AOI04_19_05_1_1.tif,data\processed\STURM\Floodmaps\EMSR471_AOI04_19_05_1_1.tif,train
data\processed\STURM\S1\EMSR438_AOI03_6_4_1_1.tif,data\processed\STURM\Floodmaps\EMSR438_AOI03_6_4_1_1.tif,train
data\processed\STURM\S1\EMSR629_AOI02_01_01_1_2.tif,data\processed\STURM\Floodmaps\EMSR629_AOI02_01_01_1_2.tif,train
data\processed\STURM\S1\EMSR352_AOI01_080_018_2_1.tif,data\processed\STURM\Floodmaps\EMSR352_AOI01_080_018_2_1.tif,train
data\processed\STURM\S1\EMSR429_AOI03_07_06_2_1.tif,data\processed\STURM\Floodmaps\EMSR429_AOI03_07_06_2_1.tif,train
data\processed\Sen1Floods11\S1\Pakistan_694942_0_0_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Pakistan_694942_0_0_LabelHand.tif,train
data\processed\Sen1Floods11\S1\Ghana_132163_2_3_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Ghana_132163_2_3_LabelHand.tif,train
data\processed\STURM\S1\EMSR261_01HANNOVER_17_19_2_1.tif,data\processed\STURM\Floodmaps\EMSR261_01HANNOVER_17_19_2_1.tif,train
data\processed\STURM\S1\EMSR429_AOI07_13_14_2_2.tif,data\processed\STURM\Floodmaps\EMSR429_AOI07_13_14_2_2.tif,train
data\processed\STURM\S1\EMSR424_AOI03_16_21_2_2.tif,data\processed\STURM\Floodmaps\EMSR424_AOI03_16_21_2_2.tif,train
data\processed\STURM\S1\EMSR292_01CHRISOUPOLI_11_13_1_1.tif,data\processed\STURM\Floodmaps\EMSR292_01CHRISOUPOLI_11_13_1_1.tif,train
data\processed\Sen1Floods11\S1\Ghana_97059_1_3_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Ghana_97059_1_3_LabelHand.tif,train
data\processed\Sen1Floods11\S1\Nigeria_81933_3_1_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Nigeria_81933_3_1_LabelHand.tif,train
data\processed\STURM\S1\EMSR265_04ESBLY_5_1_1_2.tif,data\processed\STURM\Floodmaps\EMSR265_04ESBLY_5_1_1_2.tif,train
data\processed\Sen1Floods11\S1\Ghana_103272_3_0_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Ghana_103272_3_0_LabelHand.tif,train
data\processed\Sen1Floods11\S1\Mekong_52610_1_3_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Mekong_52610_1_3_LabelHand.tif,train
data\processed\STURM\S1\EMSR419_AOI03_3_7_1_1.tif,data\processed\STURM\Floodmaps\EMSR419_AOI03_3_7_1_1.tif,train
data\processed\STURM\S1\EMSR471_AOI05_18_04_2_2.tif,data\processed\STURM\Floodmaps\EMSR471_AOI05_18_04_2_2.tif,train
data\processed\Sen1Floods11\S1\Ghana_83200_1_0_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Ghana_83200_1_0_LabelHand.tif,train
data\processed\Sen1Floods11\S1\Nigeria_22088_0_2_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Nigeria_22088_0_2_LabelHand.tif,train
data\processed\STURM\S1\EMSR261_01HANNOVER_19_13_1_2.tif,data\processed\STURM\Floodmaps\EMSR261_01HANNOVER_19_13_1_2.tif,train
data\processed\STURM\S1\EMSR332_02PADOVA_04_04_2_1.tif,data\processed\STURM\Floodmaps\EMSR332_02PADOVA_04_04_2_1.tif,train
data\processed\STURM\S1\EMSR352_AOI01_102_025_2_1.tif,data\processed\STURM\Floodmaps\EMSR352_AOI01_102_025_2_1.tif,train
data\processed\Sen1Floods11\S1\Ghana_49890_3_0_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Ghana_49890_3_0_LabelHand.tif,train
data\processed\STURM\S1\EMSR265_24HONFLEUR_07_13_1_2.tif,data\processed\STURM\Floodmaps\EMSR265_24HONFLEUR_07_13_1_2.tif,train
data\processed\STURM\S1\EMSR342_06NORTHNORMANTON_11_04_1_2.tif,data\processed\STURM\Floodmaps\EMSR342_06NORTHNORMANTON_11_04_1_2.tif,train
data\processed\STURM\S1\EMSR470_AOI01_21_21_2_2.tif,data\processed\STURM\Floodmaps\EMSR470_AOI01_21_21_2_2.tif,train
data\processed\Sen1Floods11\S1\Paraguay_1029191_2_2_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Paraguay_1029191_2_2_LabelHand.tif,train
data\processed\STURM\S1\EMSR275_02KUTINA_12_13_1_1.tif,data\processed\STURM\Floodmaps\EMSR275_02KUTINA_12_13_1_1.tif,train
data\processed\STURM\S1\EMSR352_AOI01_107_027_1_2.tif,data\processed\STURM\Floodmaps\EMSR352_AOI01_107_027_1_2.tif,train
data\processed\STURM\S1\EMSR471_AOI04_11_16_1_1.tif,data\processed\STURM\Floodmaps\EMSR471_AOI04_11_16_1_1.tif,train
data\processed\Sen1Floods11\S1\Sri-Lanka_450918_1_3_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Sri-Lanka_450918_1_3_LabelHand.tif,train
data\processed\STURM\S1\EMSR352_AOI01_113_008_2_1.tif,data\processed\STURM\Floodmaps\EMSR352_AOI01_113_008_2_1.tif,train
data\processed\STURM\S1\EMSR424_AOI01_18_31_1_1.tif,data\processed\STURM\Floodmaps\EMSR424_AOI01_18_31_1_1.tif,train
data\processed\STURM\S1\EMSR352_AOI01_107_030_1_1.tif,data\processed\STURM\Floodmaps\EMSR352_AOI01_107_030_1_1.tif,train
data\processed\Sen1Floods11\S1\Pakistan_909806_0_2_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Pakistan_909806_0_2_LabelHand.tif,train
data\processed\STURM\S1\EMSR275_01LIJEVIDOBROVCAK_11_09_2_1.tif,data\processed\STURM\Floodmaps\EMSR275_01LIJEVIDOBROVCAK_11_09_2_1.tif,train
data\processed\STURM\S1\EMSR275_02KUTINA_07_11_1_1.tif,data\processed\STURM\Floodmaps\EMSR275_02KUTINA_07_11_1_1.tif,train
data\processed\STURM\S1\EMSR407_AOI02_09_07_2_2.tif,data\processed\STURM\Floodmaps\EMSR407_AOI02_09_07_2_2.tif,train
data\processed\STURM\S1\EMSR517_AOI06_12_03_1_2.tif,data\processed\STURM\Floodmaps\EMSR517_AOI06_12_03_1_2.tif,train
data\processed\STURM\S1\EMSR352_AOI01_101_025_2_1.tif,data\processed\STURM\Floodmaps\EMSR352_AOI01_101_025_2_1.tif,train
data\processed\STURM\S1\EMSR429_AOI06_09_04_2_1.tif,data\processed\STURM\Floodmaps\EMSR429_AOI06_09_04_2_1.tif,train
data\processed\STURM\S1\EMSR275_01LIJEVIDOBROVCAK_04_07_2_2.tif,data\processed\STURM\Floodmaps\EMSR275_01LIJEVIDOBROVCAK_04_07_2_2.tif,train
data\processed\STURM\S1\EMSR268_02LIELUPE_07_02_1_1.tif,data\processed\STURM\Floodmaps\EMSR268_02LIELUPE_07_02_1_1.tif,train
data\processed\STURM\S1\EMSR470_AOI01_37_06_2_2.tif,data\processed\STURM\Floodmaps\EMSR470_AOI01_37_06_2_2.tif,train
data\processed\Sen1Floods11\S1\Ghana_1033830_3_1_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Ghana_1033830_3_1_LabelHand.tif,train
data\processed\STURM\S1\EMSR637_AOI14_13_11_1_2.tif,data\processed\STURM\Floodmaps\EMSR637_AOI14_13_11_1_2.tif,train
data\processed\STURM\S1\EMSR342_07SOUTHNORMANTON_04_19_1_2.tif,data\processed\STURM\Floodmaps\EMSR342_07SOUTHNORMANTON_04_19_1_2.tif,train
data\processed\STURM\S1\EMSR342_06NORTHNORMANTON_06_13_1_2.tif,data\processed\STURM\Floodmaps\EMSR342_06NORTHNORMANTON_06_13_1_2.tif,train
data\processed\STURM\S1\EMSR629_AOI02_09_05_1_1.tif,data\processed\STURM\Floodmaps\EMSR629_AOI02_09_05_1_1.tif,train
data\processed\STURM\S1\EMSR342_07SOUTHNORMANTON_15_08_1_2.tif,data\processed\STURM\Floodmaps\EMSR342_07SOUTHNORMANTON_15_08_1_2.tif,train
data\processed\Sen1Floods11\S1\Nigeria_600295_0_3_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Nigeria_600295_0_3_LabelHand.tif,train
data\processed\STURM\S1\EMSR342_07SOUTHNORMANTON_19_20_2_1.tif,data\processed\STURM\Floodmaps\EMSR342_07SOUTHNORMANTON_19_20_2_1.tif,train
data\processed\Sen1Floods11\S1\USA_826217_2_0_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\USA_826217_2_0_LabelHand.tif,train
data\processed\Sen1Floods11\S1\Paraguay_215904_2_1_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\Paraguay_215904_2_1_LabelHand.tif,train
data\processed\STURM\S1\EMSR261_01HANNOVER_22_24_2_2.tif,data\processed\STURM\Floodmaps\EMSR261_01HANNOVER_22_24_2_2.tif,train
data\processed\STURM\S1\EMSR342_06NORTHNORMANTON_02_15_2_1.tif,data\processed\STURM\Floodmaps\EMSR342_06NORTHNORMANTON_02_15_2_1.tif,train
data\processed\STURM\S1\EMSR468_AOI05_08_07_1_1.tif,data\processed\STURM\Floodmaps\EMSR468_AOI05_08_07_1_1.tif,train
data\processed\STURM\S1\EMSR261_02EINBECK_16_04_1_1.tif,data\processed\STURM\Floodmaps\EMSR261_02EINBECK_16_04_1_1.tif,train
data\processed\STURM\S1\EMSR261_01HANNOVER_20_15_2_1.tif,data\processed\STURM\Floodmaps\EMSR261_01HANNOVER_20_15_2_1.tif,train
data\processed\STURM\S1\EMSR275_02KUTINA_05_13_2_1.tif,data\processed\STURM\Floodmaps\EMSR275_02KUTINA_05_13_2_1.tif,train
data\processed\STURM\S1\EMSR470_AOI01_58_07_2_2.tif,data\processed\STURM\Floodmaps\EMSR470_AOI01_58_07_2_2.tif,train
data\processed\Sen1Floods11\S1\USA_986268_1_1_S1Hand.tif,data\processed\Sen1Floods11\LabelHand\USA_986268_1_1_LabelHand.tif,train
data\processed\STURM\S1\EMSR352_AOI01_098_011_1_1.tif,data\processed\STURM\Floodmaps\EMSR352_AOI01_098_011_1_1.tif,train
data\processed\STURM\S1\EMSR438_AOI01_20_38_1_2.tif,data\processed\STURM\Floodmaps\EMSR438_AOI01_20_38_1_2.tif,train
data\processed\STURM\S1\EMSR429_AOI06_32_23_1_2.tif,data\processed\STURM\Floodmaps\EMSR429_AOI06_32_23_1_2.tif,train
